candidate,age,gender,party,race,education
Do not know,18-29,Male,Independent,Hispanic,College
Hillary Clinton,18-29,Male,Democrat,Other,Some College
Donald Trump,18-29,Male,Republican,White,Some College
Hillary Clinton,18-29,Male,Independent,White,High School
Donald Trump,18-29,Male,Independent,White,Some College
Donald Trump,18-29,Male,Republican,White,College
Donald Trump,65+,Female,Independent,White,Some College
Hillary Clinton,18-29,Male,Republican,Black,High School
Hillary Clinton,30-44,Male,Democrat,Hispanic,Some College
Hillary Clinton,30-44,Female,Democrat,Black,Some College
Will not vote,45-64,Male,Republican,White,College
Hillary Clinton,45-64,Male,Democrat,White,Some College
Hillary Clinton,18-29,Male,Independent,Black,High School
Hillary Clinton,65+,Male,Democrat,White,College
Do not know,30-44,Male,Independent,White,Some College
Hillary Clinton,30-44,Male,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,Hispanic,College
Hillary Clinton,18-29,Female,Independent,Hispanic,High School
Donald Trump,65+,Male,Republican,White,College
Hillary Clinton,30-44,Male,Democrat,White,Some College
Hillary Clinton,18-29,Male,Democrat,White,College
Will not vote,18-29,Male,Independent,Black,Some College
Hillary Clinton,30-44,Female,Democrat,Black,Some College
Hillary Clinton,45-64,Male,Democrat,Hispanic,College
Hillary Clinton,30-44,Male,Democrat,Black,College
Donald Trump,65+,Female,Republican,White,College
Hillary Clinton,45-64,Female,Democrat,Black,College
Hillary Clinton,18-29,Male,Democrat,Hispanic,College
Donald Trump,30-44,Male,Republican,Hispanic,Some College
Hillary Clinton,45-64,Female,Democrat,Hispanic,High School
Hillary Clinton,45-64,Female,Independent,White,College
Hillary Clinton,30-44,Male,Democrat,White,College
Hillary Clinton,45-64,Male,Democrat,White,High School
Donald Trump,45-64,Male,Independent,White,Some College
Do not know,18-29,Female,Independent,White,High School
Hillary Clinton,18-29,Female,Democrat,Black,Some College
Hillary Clinton,45-64,Female,Democrat,Black,Some College
Donald Trump,30-44,Female,Independent,White,High School
Donald Trump,45-64,Female,Republican,White,College
Do not know,65+,Male,Republican,White,Some College
Hillary Clinton,45-64,Female,Democrat,White,College
Donald Trump,65+,Female,Republican,White,College
Hillary Clinton,30-44,Female,Independent,White,Some College
Do not know,45-64,Female,Independent,White,College
Donald Trump,65+,Female,Republican,White,Some College
Will not vote,30-44,Male,Independent,White,College
Donald Trump,45-64,Male,Independent,Hispanic,Some College
Do not know,30-44,Female,Refused,Refused,Refused
Hillary Clinton,65+,Female,Democrat,White,Some College
Hillary Clinton,65+,Male,Democrat,Black,Some College
Donald Trump,45-64,Female,Republican,White,College
Donald Trump,65+,Female,Republican,White,Some College
Hillary Clinton,45-64,Female,Democrat,White,College
Do not know,30-44,Male,Independent,Black,College
Hillary Clinton,65+,Female,Democrat,White,College
Hillary Clinton,30-44,Male,Independent,Hispanic,College
Hillary Clinton,45-64,Male,Republican,White,College
Hillary Clinton,45-64,Female,Refused,Hispanic,College
Hillary Clinton,18-29,Female,Independent,White,College
Hillary Clinton,65+,Female,Republican,White,College
Hillary Clinton,65+,Male,Democrat,White,College
Hillary Clinton,45-64,Female,Democrat,Hispanic,College
Donald Trump,30-44,Male,Republican,White,College
Hillary Clinton,45-64,Female,Democrat,White,College
Do not know,30-44,Male,Democrat,White,Some College
Donald Trump,45-64,Female,Republican,White,College
Donald Trump,30-44,Male,Independent,Refused,College
Donald Trump,65+,Female,Republican,White,High School
Someone else,45-64,Female,Republican,White,Some College
Hillary Clinton,65+,Female,Democrat,White,High School
Hillary Clinton,45-64,Female,Democrat,Black,College
Hillary Clinton,65+,Female,Democrat,Hispanic,High School
Hillary Clinton,65+,Female,Democrat,White,Some College
Hillary Clinton,65+,Male,Independent,White,Some College
Hillary Clinton,45-64,Female,Independent,White,Some College
Hillary Clinton,65+,Male,Democrat,Black,Some College
Hillary Clinton,45-64,Female,Independent,White,College
Hillary Clinton,45-64,Female,Independent,White,Some College
Donald Trump,65+,Female,Republican,White,Some College
Hillary Clinton,45-64,Male,Democrat,Hispanic,Some College
Hillary Clinton,45-64,Female,Democrat,White,College
Donald Trump,45-64,Female,Republican,White,College
Hillary Clinton,45-64,Female,Independent,Other,College
Hillary Clinton,30-44,Male,Democrat,White,College
Hillary Clinton,65+,Female,Democrat,White,College
Hillary Clinton,30-44,Male,Democrat,White,College
Donald Trump,65+,Female,Republican,White,Some College
Hillary Clinton,45-64,Female,Democrat,White,College
Hillary Clinton,30-44,Male,Democrat,Other,College
Donald Trump,45-64,Male,Independent,White,High School
Hillary Clinton,30-44,Male,Democrat,Hispanic,College
Someone else,30-44,Female,Democrat,Refused,Refused
Hillary Clinton,30-44,Female,Democrat,Black,College
Will not vote,18-29,Male,Independent,White,College
Someone else,18-29,Female,Democrat,White,College
Donald Trump,30-44,Male,Republican,White,College
Hillary Clinton,18-29,Female,Democrat,Hispanic,College
Hillary Clinton,45-64,Male,Democrat,Hispanic,College
Hillary Clinton,45-64,Male,Democrat,White,Some College
Will not vote,18-29,Female,Democrat,Black,College
Will not vote,30-44,Male,Democrat,Refused,Some College
Hillary Clinton,65+,Male,Independent,White,Some College
Donald Trump,65+,Male,Republican,White,College
Donald Trump,45-64,Male,Independent,White,College
Hillary Clinton,30-44,Female,Democrat,Black,College
Donald Trump,65+,Female,Republican,White,College
Hillary Clinton,45-64,Male,Democrat,White,Some College
Hillary Clinton,30-44,Female,Independent,White,College
Hillary Clinton,45-64,Female,Democrat,Black,College
Will not vote,30-44,Male,Independent,Other,College
Donald Trump,65+,Female,Republican,White,Some College
Hillary Clinton,65+,Female,Democrat,White,College
Donald Trump,45-64,Male,Democrat,White,Some College
Hillary Clinton,65+,Male,Democrat,White,College
Hillary Clinton,65+,Male,Democrat,White,College
Donald Trump,30-44,Female,Republican,White,College
Donald Trump,45-64,Male,Republican,White,College
Donald Trump,30-44,Male,Independent,White,College
Donald Trump,18-29,Male,Republican,White,Some College
Someone else,18-29,Male,Independent,Hispanic,College
Hillary Clinton,45-64,Female,Democrat,White,High School
Donald Trump,30-44,Male,Independent,White,College
Donald Trump,65+,Male,Republican,White,Some College
Do not know,65+,Female,Independent,White,Some College
Hillary Clinton,65+,Female,Democrat,White,Some College
Hillary Clinton,45-64,Female,Independent,White,Some College
Hillary Clinton,30-44,Female,Independent,Hispanic,Some College
Donald Trump,18-29,Female,Republican,White,Some College
Hillary Clinton,30-44,Male,Independent,White,Some College
Hillary Clinton,18-29,Female,Democrat,Black,Some College
Hillary Clinton,18-29,Female,Independent,White,Some College
Donald Trump,30-44,Female,Republican,Refused,Some College
Donald Trump,65+,Male,Independent,White,College
Donald Trump,65+,Male,Republican,White,College
Donald Trump,65+,Male,Republican,White,College
Hillary Clinton,18-29,Female,Independent,Hispanic,Some College
Hillary Clinton,30-44,Male,Democrat,White,College
Do not know,30-44,Male,Independent,Black,College
Donald Trump,30-44,Male,Republican,White,Some College
Hillary Clinton,18-29,Male,Democrat,Hispanic,High School
Hillary Clinton,18-29,Male,Democrat,Hispanic,College
Someone else,18-29,Male,Independent,Hispanic,Some College
Hillary Clinton,18-29,Male,Independent,Hispanic,College
Donald Trump,18-29,Male,Independent,White,Some College
Hillary Clinton,45-64,Male,Democrat,Black,College
Hillary Clinton,18-29,Male,Independent,Hispanic,Some College
Donald Trump,18-29,Male,Republican,White,Some College
Hillary Clinton,18-29,Male,Independent,White,High School
Donald Trump,18-29,Male,Independent,White,Some College
Do not know,65+,Male,Independent,Hispanic,College
Do not know,30-44,Male,Independent,Hispanic,Some College
Donald Trump,45-64,Male,Independent,White,Some College
Hillary Clinton,18-29,Female,Independent,Black,High School
Do not know,18-29,Female,Independent,White,Some College
Donald Trump,65+,Male,Independent,Other,College
Do not know,18-29,Female,Independent,Refused,College
Donald Trump,30-44,Female,Republican,White,College
Do not know,18-29,Male,Republican,White,College
Hillary Clinton,45-64,Female,Democrat,Refused,Refused
Do not know,65+,Female,Republican,White,Some College
Donald Trump,45-64,Female,Democrat,White,Some College
Hillary Clinton,30-44,Female,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,Hispanic,College
Hillary Clinton,18-29,Female,Independent,White,Some College
Hillary Clinton,18-29,Female,Democrat,Hispanic,High School
Hillary Clinton,18-29,Female,Republican,Hispanic,High School
Do not know,65+,Male,Independent,White,Some College
Do not know,65+,Male,Republican,Hispanic,High School
Donald Trump,65+,Male,Independent,White,Some College
Do not know,65+,Male,Independent,Refused,Some College
Hillary Clinton,65+,Male,Independent,White,Some College
Donald Trump,45-64,Male,Democrat,White,College
Hillary Clinton,65+,Male,Democrat,White,College
Do not know,45-64,Male,Republican,White,College
Hillary Clinton,45-64,Male,Democrat,Hispanic,College
Donald Trump,30-44,Male,Independent,White,College
Donald Trump,18-29,Male,Independent,White,College
Do not know,18-29,Male,Independent,Hispanic,College
Hillary Clinton,18-29,Female,Democrat,White,College
Hillary Clinton,18-29,Male,Democrat,White,College
Donald Trump,65+,Male,Republican,White,College
Hillary Clinton,45-64,Male,Democrat,Black,Some College
Hillary Clinton,18-29,Male,Independent,White,Some College
Do not know,30-44,Male,Independent,Hispanic,College
Hillary Clinton,45-64,Male,Independent,Hispanic,College
Hillary Clinton,65+,Male,Democrat,Black,Some College
Donald Trump,45-64,Female,Republican,White,College
Someone else,30-44,Female,Democrat,Hispanic,Some College
Hillary Clinton,30-44,Male,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,Black,Some College
Donald Trump,65+,Female,Republican,White,Some College
Hillary Clinton,45-64,Female,Democrat,Black,High School
Will not vote,18-29,Male,Independent,White,College
Do not know,65+,Female,Independent,White,High School
Do not know,30-44,Male,Independent,Hispanic,College
Donald Trump,45-64,Female,Republican,White,High School
Hillary Clinton,30-44,Female,Democrat,Hispanic,College
Donald Trump,45-64,Male,Republican,White,Some College
Hillary Clinton,65+,Female,Independent,White,College
Donald Trump,65+,Male,Republican,Black,College
Donald Trump,18-29,Female,Republican,White,Some College
Hillary Clinton,18-29,Female,Independent,White,Some College
Hillary Clinton,45-64,Female,Democrat,White,Some College
Donald Trump,45-64,Male,Independent,Hispanic,College
Hillary Clinton,18-29,Male,Independent,Black,College
Hillary Clinton,30-44,Male,Democrat,White,College
Donald Trump,30-44,Female,Republican,Other,College
Will not vote,30-44,Male,Independent,Black,High School
Donald Trump,18-29,Male,Independent,Hispanic,Some College
Donald Trump,65+,Female,Republican,White,High School
Donald Trump,45-64,Male,Independent,White,College
Will not vote,65+,Female,Democrat,Black,High School
Donald Trump,18-29,Male,Republican,White,College
Donald Trump,65+,Female,Republican,White,Some College
Donald Trump,65+,Male,Independent,White,College
Donald Trump,65+,Female,Independent,White,Some College
Someone else,30-44,Male,Independent,White,Some College
Do not know,45-64,Male,Democrat,Black,High School
Donald Trump,45-64,Male,Independent,White,College
Hillary Clinton,65+,Female,Independent,White,College
Hillary Clinton,30-44,Female,Independent,White,College
Hillary Clinton,65+,Female,Democrat,White,Some College
Hillary Clinton,18-29,Male,Democrat,White,Some College
Hillary Clinton,65+,Female,Democrat,White,College
Donald Trump,45-64,Female,Republican,White,College
Hillary Clinton,45-64,Female,Democrat,Black,Some College
Donald Trump,30-44,Female,Republican,Other,College
Donald Trump,18-29,Female,Republican,White,College
Someone else,18-29,Female,Independent,Hispanic,High School
Hillary Clinton,18-29,Female,Independent,Hispanic,Some College
Hillary Clinton,65+,Male,Democrat,Hispanic,High School
Donald Trump,45-64,Male,Republican,Hispanic,College
Hillary Clinton,30-44,Male,Democrat,Other,Some College
Hillary Clinton,30-44,Male,Independent,Hispanic,High School
Someone else,18-29,Male,Independent,Black,Some College
Donald Trump,45-64,Male,Independent,White,College
Hillary Clinton,18-29,Female,Democrat,Black,Some College
Hillary Clinton,18-29,Female,Democrat,Black,High School
Hillary Clinton,18-29,Male,Refused,Black,High School
Hillary Clinton,45-64,Female,Democrat,Hispanic,Some College
Do not know,18-29,Female,Independent,White,Some College
Donald Trump,18-29,Male,Republican,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,Hispanic,College
Hillary Clinton,30-44,Male,Democrat,Black,College
Hillary Clinton,30-44,Female,Independent,White,College
Hillary Clinton,18-29,Male,Democrat,Hispanic,College
Hillary Clinton,65+,Female,Democrat,Hispanic,High School
Donald Trump,45-64,Male,Republican,White,College
Donald Trump,45-64,Male,Independent,White,Some College
Donald Trump,30-44,Male,Democrat,Hispanic,College
Hillary Clinton,45-64,Male,Independent,Black,College
Someone else,18-29,Female,Independent,White,College
Do not know,18-29,Male,Republican,White,College
Donald Trump,45-64,Male,Independent,Refused,College
Hillary Clinton,30-44,Female,Democrat,Hispanic,College
Donald Trump,45-64,Male,Democrat,Black,High School
Hillary Clinton,45-64,Male,Democrat,Hispanic,College
Hillary Clinton,45-64,Female,Independent,Hispanic,Some College
Donald Trump,30-44,Female,Republican,White,High School
Hillary Clinton,65+,Female,Democrat,Hispanic,High School
Donald Trump,65+,Male,Republican,White,Some College
Hillary Clinton,18-29,Male,Democrat,Black,Some College
Donald Trump,45-64,Male,Independent,White,High School
Hillary Clinton,30-44,Male,Democrat,Hispanic,Some College
Do not know,45-64,Male,Democrat,White,High School
Hillary Clinton,65+,Female,Democrat,White,High School
Hillary Clinton,18-29,Male,Democrat,Black,College
Donald Trump,45-64,Male,Independent,White,Some College
Do not know,65+,Male,Independent,White,Some College
Do not know,18-29,Male,Refused,Refused,High School
Hillary Clinton,45-64,Female,Democrat,White,Some College
Hillary Clinton,65+,Female,Refused,White,College
Donald Trump,30-44,Male,Independent,White,High School
Hillary Clinton,45-64,Female,Democrat,White,High School
Hillary Clinton,65+,Male,Democrat,White,Some College
Donald Trump,45-64,Female,Independent,White,Some College
Donald Trump,45-64,Female,Republican,White,College
Donald Trump,45-64,Female,Republican,White,College
Hillary Clinton,45-64,Female,Independent,White,College
Hillary Clinton,45-64,Female,Democrat,Hispanic,High School
Donald Trump,30-44,Female,Republican,Hispanic,Some College
Hillary Clinton,30-44,Female,Republican,Hispanic,Some College
Will not vote,30-44,Female,Independent,White,College
Hillary Clinton,18-29,Female,Democrat,Hispanic,College
Hillary Clinton,18-29,Female,Independent,Hispanic,High School
Hillary Clinton,18-29,Female,Independent,White,Some College
Do not know,18-29,Female,Independent,Other,Some College
Hillary Clinton,18-29,Female,Democrat,Hispanic,Some College
Donald Trump,65+,Male,Democrat,White,High School
Donald Trump,65+,Male,Republican,White,High School
Hillary Clinton,65+,Male,Democrat,Hispanic,College
Hillary Clinton,45-64,Male,Independent,White,College
Donald Trump,30-44,Male,Republican,Refused,Refused
Donald Trump,30-44,Male,Independent,White,High School
Will not vote,30-44,Female,Independent,White,College
Hillary Clinton,18-29,Male,Refused,Hispanic,High School
Donald Trump,18-29,Male,Republican,White,Some College
Donald Trump,18-29,Male,Independent,Black,High School
Hillary Clinton,18-29,Male,Independent,Hispanic,High School
Hillary Clinton,18-29,Male,Democrat,Hispanic,High School
Will not vote,18-29,Male,Independent,Black,High School
Hillary Clinton,18-29,Female,Independent,White,Some College
Do not know,30-44,Female,Democrat,White,College
Hillary Clinton,18-29,Female,Democrat,White,High School
Do not know,18-29,Male,Independent,Hispanic,High School
Hillary Clinton,18-29,Male,Democrat,White,College
Hillary Clinton,30-44,Female,Democrat,White,College
Hillary Clinton,18-29,Male,Independent,White,College
Hillary Clinton,30-44,Female,Independent,White,College
Hillary Clinton,30-44,Female,Democrat,Black,College
Hillary Clinton,18-29,Male,Independent,Black,High School
Hillary Clinton,18-29,Male,Democrat,Hispanic,Some College
Hillary Clinton,30-44,Female,Democrat,Hispanic,Some College
Hillary Clinton,45-64,Female,Republican,White,College
Hillary Clinton,65+,Female,Democrat,White,Some College
Donald Trump,18-29,Male,Independent,Hispanic,High School
Hillary Clinton,45-64,Female,Democrat,Black,High School
Will not vote,18-29,Male,Independent,White,Some College
Donald Trump,18-29,Female,Republican,White,High School
Hillary Clinton,65+,Male,Independent,White,Some College
Hillary Clinton,65+,Male,Democrat,White,College
Someone else,18-29,Female,Independent,White,Some College
Hillary Clinton,45-64,Female,Democrat,Hispanic,High School
Donald Trump,18-29,Male,Republican,White,High School
Hillary Clinton,18-29,Male,Democrat,White,College
Donald Trump,45-64,Male,Independent,White,College
Hillary Clinton,45-64,Female,Democrat,White,High School
Donald Trump,30-44,Male,Republican,White,Some College
Hillary Clinton,45-64,Male,Democrat,Hispanic,Some College
Donald Trump,45-64,Female,Independent,White,College
Donald Trump,30-44,Female,Republican,White,Some College
Hillary Clinton,18-29,Female,Democrat,Hispanic,Some College
Hillary Clinton,30-44,Female,Refused,White,College
Hillary Clinton,45-64,Male,Democrat,Hispanic,College
Donald Trump,65+,Male,Democrat,White,College
Donald Trump,18-29,Female,Independent,White,Some College
Will not vote,65+,Male,Refused,Refused,Refused
Hillary Clinton,18-29,Male,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,White,College
Donald Trump,18-29,Female,Republican,White,College
Donald Trump,45-64,Male,Republican,White,High School
Donald Trump,65+,Male,Republican,Hispanic,Some College
Hillary Clinton,65+,Male,Democrat,Hispanic,College
Hillary Clinton,18-29,Male,Democrat,Black,Some College
Donald Trump,45-64,Female,Independent,Other,Some College
Hillary Clinton,45-64,Male,Republican,Hispanic,College
Donald Trump,18-29,Female,Independent,White,College
Donald Trump,18-29,Female,Republican,White,College
Donald Trump,45-64,Male,Republican,White,College
Do not know,30-44,Female,Republican,Hispanic,College
Hillary Clinton,30-44,Male,Democrat,White,College
Hillary Clinton,30-44,Male,Democrat,Black,College
Do not know,30-44,Female,Democrat,White,College
Hillary Clinton,18-29,Male,Democrat,Hispanic,College
Donald Trump,18-29,Female,Republican,White,College
Donald Trump,45-64,Male,Independent,Refused,College
Hillary Clinton,65+,Female,Independent,White,College
Hillary Clinton,18-29,Female,Democrat,Hispanic,Some College
Donald Trump,65+,Male,Republican,White,College
Donald Trump,30-44,Female,Independent,White,College
Hillary Clinton,30-44,Female,Democrat,Hispanic,College
Do not know,18-29,Female,Republican,White,College
Donald Trump,30-44,Male,Republican,Hispanic,College
Donald Trump,65+,Female,Republican,White,College
Someone else,18-29,Male,Independent,Hispanic,High School
Donald Trump,45-64,Male,Independent,Hispanic,Some College
Donald Trump,30-44,Male,Independent,White,College
Hillary Clinton,45-64,Male,Democrat,White,College
Will not vote,45-64,Female,Independent,Hispanic,College
Hillary Clinton,18-29,Female,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Female,Independent,White,Some College
Donald Trump,18-29,Female,Republican,White,Some College
Donald Trump,65+,Female,Independent,White,High School
Hillary Clinton,65+,Female,Democrat,White,Some College
Donald Trump,65+,Female,Republican,White,College
Donald Trump,45-64,Female,Independent,White,Some College
Hillary Clinton,45-64,Female,Independent,White,Some College
Hillary Clinton,45-64,Female,Democrat,White,College
Donald Trump,45-64,Female,Republican,White,Some College
Donald Trump,45-64,Female,Republican,White,Some College
Hillary Clinton,45-64,Female,Independent,Hispanic,High School
Donald Trump,45-64,Female,Republican,White,College
Hillary Clinton,45-64,Female,Democrat,Black,College
Do not know,30-44,Female,Independent,White,High School
Hillary Clinton,30-44,Female,Independent,White,College
Hillary Clinton,30-44,Female,Democrat,Hispanic,High School
Hillary Clinton,30-44,Female,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Female,Democrat,Other,College
Donald Trump,18-29,Female,Republican,Hispanic,Some College
Someone else,18-29,Female,Independent,White,College
Hillary Clinton,30-44,Male,Democrat,Refused,Some College
Hillary Clinton,65+,Male,Democrat,Hispanic,College
Hillary Clinton,18-29,Female,Democrat,White,Some College
Donald Trump,18-29,Female,Republican,White,High School
Hillary Clinton,18-29,Female,Democrat,Black,High School
Donald Trump,18-29,Female,Democrat,White,High School
Donald Trump,18-29,Female,Republican,White,High School
Hillary Clinton,45-64,Male,Democrat,Hispanic,High School
Donald Trump,45-64,Male,Republican,Hispanic,Some College
Donald Trump,45-64,Male,Independent,White,College
Donald Trump,45-64,Male,Independent,Hispanic,College
Donald Trump,18-29,Female,Republican,White,Some College
Donald Trump,45-64,Male,Republican,Other,High School
Donald Trump,45-64,Male,Independent,White,High School
Do not know,18-29,Female,Republican,Hispanic,College
Do not know,30-44,Male,Democrat,White,College
Donald Trump,18-29,Male,Independent,White,College
Hillary Clinton,18-29,Male,Refused,White,High School
Donald Trump,45-64,Male,Republican,White,College
Hillary Clinton,18-29,Male,Democrat,Hispanic,Some College
Hillary Clinton,18-29,Male,Independent,White,College
Donald Trump,65+,Male,Independent,White,High School
Hillary Clinton,18-29,Female,Democrat,White,College
Hillary Clinton,18-29,Male,Democrat,Black,High School
Donald Trump,18-29,Female,Democrat,Hispanic,High School
Someone else,18-29,Female,Democrat,Hispanic,High School
Hillary Clinton,18-29,Male,Independent,Other,High School
Hillary Clinton,18-29,Female,Democrat,White,College
Someone else,18-29,Male,Independent,White,Some College
Donald Trump,65+,Female,Republican,White,College
Hillary Clinton,18-29,Male,Democrat,Black,Some College
Donald Trump,18-29,Female,Republican,Hispanic,College
Will not vote,45-64,Male,Independent,White,College
Donald Trump,18-29,Male,Independent,White,High School
Hillary Clinton,18-29,Female,Democrat,White,Some College
Donald Trump,18-29,Male,Independent,Other,Some College
Do not know,30-44,Female,Refused,White,Some College
Donald Trump,18-29,Male,Republican,Hispanic,High School
Hillary Clinton,65+,Male,Democrat,White,Some College
Donald Trump,65+,Male,Independent,White,College
Hillary Clinton,18-29,Female,Democrat,Other,College
Do not know,45-64,Male,Independent,Refused,Refused
Hillary Clinton,65+,Male,Democrat,White,College
